ag,bg,T1,V1,A1,P1,B1,T2,V2,A2,P2,B2,T3,V3,A3,P3,B3,T4,V4,A4,P4,B4,Contamination_Defect,Crystalisation_Defect,Ion_Diffusion_Defect,Burnishing_Defect,m1_cost,m2_cost,m3_cost,m4_cost,ID
Low,Argon,93.9888612787967,445746.5801589547,299.43697504972505,30.670556537745732,61.75908916727586,660.209111725332,1453014.1940559342,468.4299559327467,83.22166110831492,244.52702640656094,370.20366671869357,786363.4961780811,236.03831005845632,261.51440648951865,903.0099543248842,373.67160411368286,551459.5577513406,388.98356081146466,192.86818454614462,349.55590895068815,0,0,0,0,1139.527627607543,2064.621760694831,1156.5611317400212,840.4692418427103,0
Low,Argon,57.16187619755309,389648.46858788014,275.2761632879378,49.95866990690125,132.61544571156122,502.6256477566013,4533348.46407765,435.61841109935995,79.78393898913842,211.53298488427149,398.50036723681035,574039.3320507004,235.93551544748095,258.3648686373162,784.8243368660135,349.5356304613539,316078.9849844252,816.7719325809805,387.3567159362384,340.564838642477,0,1,0,0,1008.1057326065849,,869.7140434142567,523.1875722544476,1
Medium,Argon,81.25570941831839,396609.83957283624,235.9517731698704,15.25831335910356,130.83670366137517,501.7954359994444,2894109.0707240775,113.88699509114589,60.25185425677909,244.97400904750336,656.1688094762729,538461.1044655048,100.47008751739926,144.15627303464754,821.0607578164374,344.4122530144315,384425.6460063321,220.6548190532663,327.4418247482578,355.23619235350776,0,1,0,0,1024.3581469346773,4008.284376661505,822.9686571057073,614.9494838497981,2
Medium,Neon,125.48149562899954,165185.45603961192,221.7102306125808,14.671119089265664,116.93694252667859,437.93849777359037,2665633.948044164,148.93794351663033,48.69189734051323,307.9547751117341,450.6331774381926,806097.9945804875,551.3874184988725,127.92910722696062,786.105760998953,362.82886027914867,461873.5506243942,512.6231656253386,444.4619190554583,349.9917005987306,1,1,0,0,480.4012000943451,,1184.2820278975425,719.9165845902229,3
Medium,Argon,138.01363279893337,626895.1624684891,201.99606386502415,22.245831835073716,142.09042292199163,577.7872695770502,894618.3536368844,242.34051953528115,62.90578984754226,326.96127527541773,448.57858118645174,867053.6132476954,366.6136324405383,227.83426413148115,841.2988135553805,331.01149787187916,337105.68537913467,644.088192634646,363.18459465512285,332.946149151773,0,0,0,0,1565.7046875202825,1309.504594233009,1266.8368503810677,551.1464235308179,4
Low,Neon,122.1477952870573,293819.3505014178,138.810260604076,38.78926253181025,127.86086680341074,584.7557650921639,4528383.800103261,368.0358469009342,43.576690127992876,217.87864427274386,528.3255698969228,811204.0020219863,201.30751190044563,142.12115944284176,888.8165048335178,222.27422341119706,445837.1316988766,588.1871714249141,247.3718215212257,317.78336490011355,0,1,0,0,782.7606495107515,6215.8595692044,1190.5385967806255,697.0465711109142,5
Medium,C02,122.02291681075725,179320.97103788296,144.55004241939773,37.061572089499144,149.707721050636,536.9825607982799,2132435.5793979554,417.87776721439684,65.82786693078971,,456.1492264152987,513596.1111868901,237.51648123555756,809.2115081164859,948.7557362975296,336.3797599957022,394910.7246574061,843.5635016115912,404.26670437526604,326.32314561319004,0,0,0,1,513.9013550937232,2981.5424413965266,789.5106273851384,629.4236647233747,6
Medium,Neon,117.35694244762783,227622.56790167294,270.8648009413498,27.751312242182152,159.418305227508,,1136905.4515704822,406.5648466188057,89.9184177125364,350.813154123455,333.5418701786524,623888.4286401824,531.5332484960009,241.55369105790828,852.6870628634341,298.21692154937983,474172.34889651183,424.550919291755,179.36850754545236,361.41730369126043,0,0,0,0,627.8841881077607,1636.3873978609088,938.2534515462163,735.8767969800973,7
Low,Argon,132.13036897684728,443013.6500785174,206.07046612945183,33.60675185793139,83.67451343445381,524.3244226657054,870778.45165911,97.1742430452636,71.33460321798903,284.62686897781157,345.4698208263125,876378.9553676703,321.28050692560305,116.13860724213966,710.5338651650211,291.22194520049896,487899.88023961015,137.6604873587398,494.68381536991296,326.8148649345847,0,0,0,0,1133.241184849918,1275.4042006330126,1278.160808766814,754.2210685557657,8
Medium,Argon,107.25418169194893,485616.41390399565,,14.709655129070137,146.6442926076032,351.84539403248317,1616851.0001625365,143.1326050716607,57.58940755175168,307.59558721405944,476.35798519592163,687120.9377860556,462.24390802419566,84.17033255089859,845.2874392630388,302.34332508912564,450688.44928734365,667.9422614459124,262.5036761045351,337.1972658014336,0,0,0,0,1233.7828664280735,2283.214593835642,1023.8674068248935,704.4061252615885,9
